method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,27.20599937438965,,1000,mnasnet,2,2
restoration,1.0,50.0,0.6,27.808,53.802,1000,mnasnet,2,2
restoration,8.0,50.0,0.6,27.948,53.902,1000,mnasnet,2,2
restoration,16.0,50.0,0.6,28.07,53.912,1000,mnasnet,2,2
restoration,24.0,50.0,0.6,28.238,53.986,1000,mnasnet,2,2
restoration,32.0,50.0,0.6,28.162,54.01,1000,mnasnet,2,2
restoration,48.0,50.0,0.6,28.242,53.996,1000,mnasnet,2,2
restoration,64.0,50.0,0.6,28.384,53.972,1000,mnasnet,2,2
restoration,96.0,50.0,0.6,28.368,54.154,1000,mnasnet,2,2
restoration,128.0,50.0,0.6,28.382,54.1,1000,mnasnet,2,2
restoration,192.0,50.0,0.6,28.42,54.266,1000,mnasnet,2,2
restoration,256.0,50.0,0.6,28.49,54.466,1000,mnasnet,2,2
