method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,"tensor(64.1760, device='cuda:0')",,2,regnetx_600m,2,4
restoration,56.0,40.0,0.5,62.466,85.61,2,regnetx_600m,2,4
