method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,"tensor(55.1500, device='cuda:0')",,2,mobilenetv2,2,4
restoration,56.0,40.0,0.5,52.042,78.27,2,mobilenetv2,2,4
