method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,"tensor(54.8380, device='cuda:0')",,0,regnetx_3200m,2,2
restoration,1.0,1.0,0.4,55.012,80.844,0,regnetx_3200m,2,2
