method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,"tensor(20.1200, device='cuda:0')",,1,mobilenetv2,4,2
restoration,1.0,1.0,0.2,20.222,42.766,1,mobilenetv2,4,2
