method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,"tensor(27.4940, device='cuda:0')",,1,mnasnet,2,2
restoration,1.0,1.0,0.4,27.578,54.286,1,mnasnet,2,2
