method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,"tensor(53.0880, device='cuda:0')",,6,resnet18,2,2
restoration,1.0,1.0,0.4,53.134,78.436,6,resnet18,2,2
