method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,70.88399505615234,,1002,resnet50,2,4
restoration,64.0,1.0,0.6,71.198,90.312,1002,resnet50,2,4
restoration,64.0,5.0,0.6,71.266,90.288,1002,resnet50,2,4
restoration,64.0,10.0,0.6,71.302,90.308,1002,resnet50,2,4
restoration,64.0,15.0,0.6,71.31,90.29,1002,resnet50,2,4
restoration,64.0,20.0,0.6,71.304,90.286,1002,resnet50,2,4
restoration,64.0,25.0,0.6,71.278,90.24,1002,resnet50,2,4
restoration,64.0,30.0,0.6,71.274,90.284,1002,resnet50,2,4
restoration,64.0,35.0,0.6,71.224,90.258,1002,resnet50,2,4
restoration,64.0,40.0,0.6,71.262,90.244,1002,resnet50,2,4
restoration,64.0,45.0,0.6,71.248,90.264,1002,resnet50,2,4
restoration,64.0,50.0,0.6,71.248,90.26,1002,resnet50,2,4
restoration,64.0,55.0,0.6,71.24,90.274,1002,resnet50,2,4
restoration,64.0,60.0,0.6,71.224,90.262,1002,resnet50,2,4
restoration,64.0,65.0,0.6,71.252,90.258,1002,resnet50,2,4
restoration,64.0,70.0,0.6,71.248,90.26,1002,resnet50,2,4
restoration,64.0,75.0,0.6,71.234,90.258,1002,resnet50,2,4
restoration,64.0,80.0,0.6,71.256,90.27,1002,resnet50,2,4
restoration,64.0,85.0,0.6,71.242,90.252,1002,resnet50,2,4
restoration,64.0,90.0,0.6,71.28,90.29,1002,resnet50,2,4
restoration,64.0,95.0,0.6,71.164,90.272,1002,resnet50,2,4
restoration,64.0,100.0,0.6,71.21,90.24,1002,resnet50,2,4
restoration,64.0,105.0,0.6,71.244,90.246,1002,resnet50,2,4
restoration,64.0,110.0,0.6,71.224,90.266,1002,resnet50,2,4
restoration,64.0,115.0,0.6,71.266,90.248,1002,resnet50,2,4
restoration,64.0,120.0,0.6,71.2,90.258,1002,resnet50,2,4
restoration,64.0,125.0,0.6,71.222,90.284,1002,resnet50,2,4
restoration,64.0,130.0,0.6,71.226,90.248,1002,resnet50,2,4
restoration,64.0,135.0,0.6,71.226,90.256,1002,resnet50,2,4
restoration,64.0,140.0,0.6,71.19,90.268,1002,resnet50,2,4
restoration,64.0,145.0,0.6,71.218,90.254,1002,resnet50,2,4
restoration,64.0,150.0,0.6,71.216,90.248,1002,resnet50,2,4
restoration,64.0,155.0,0.6,71.266,90.286,1002,resnet50,2,4
restoration,64.0,160.0,0.6,71.204,90.258,1002,resnet50,2,4
restoration,64.0,165.0,0.6,71.218,90.284,1002,resnet50,2,4
restoration,64.0,170.0,0.6,71.254,90.238,1002,resnet50,2,4
restoration,64.0,175.0,0.6,71.24,90.276,1002,resnet50,2,4
restoration,64.0,180.0,0.6,71.188,90.262,1002,resnet50,2,4
restoration,64.0,185.0,0.6,71.244,90.276,1002,resnet50,2,4
restoration,64.0,190.0,0.6,71.248,90.284,1002,resnet50,2,4
restoration,64.0,195.0,0.6,71.17,90.24,1002,resnet50,2,4
restoration,64.0,200.0,0.6,71.236,90.264,1002,resnet50,2,4
restoration,64.0,205.0,0.6,71.25,90.28,1002,resnet50,2,4
restoration,64.0,210.0,0.6,71.224,90.262,1002,resnet50,2,4
restoration,64.0,215.0,0.6,71.194,90.24,1002,resnet50,2,4
restoration,64.0,220.0,0.6,71.238,90.26,1002,resnet50,2,4
