method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,64.22999572753906,,1002,resnet50,4,2
restoration,64.0,1.0,0.6,64.55,86.34,1002,resnet50,4,2
restoration,64.0,5.0,0.6,64.518,86.336,1002,resnet50,4,2
restoration,64.0,10.0,0.6,64.458,86.266,1002,resnet50,4,2
restoration,64.0,15.0,0.6,64.346,86.282,1002,resnet50,4,2
restoration,64.0,20.0,0.6,64.338,86.256,1002,resnet50,4,2
restoration,64.0,25.0,0.6,64.352,86.272,1002,resnet50,4,2
restoration,64.0,30.0,0.6,64.358,86.268,1002,resnet50,4,2
restoration,64.0,35.0,0.6,64.378,86.278,1002,resnet50,4,2
restoration,64.0,40.0,0.6,64.398,86.292,1002,resnet50,4,2
restoration,64.0,45.0,0.6,64.36,86.26,1002,resnet50,4,2
restoration,64.0,50.0,0.6,64.376,86.186,1002,resnet50,4,2
restoration,64.0,55.0,0.6,64.418,86.264,1002,resnet50,4,2
restoration,64.0,60.0,0.6,64.428,86.24,1002,resnet50,4,2
restoration,64.0,65.0,0.6,64.454,86.208,1002,resnet50,4,2
restoration,64.0,70.0,0.6,64.432,86.22,1002,resnet50,4,2
restoration,64.0,75.0,0.6,64.402,86.214,1002,resnet50,4,2
restoration,64.0,80.0,0.6,64.352,86.22,1002,resnet50,4,2
restoration,64.0,85.0,0.6,64.388,86.242,1002,resnet50,4,2
restoration,64.0,90.0,0.6,64.394,86.234,1002,resnet50,4,2
restoration,64.0,95.0,0.6,64.386,86.192,1002,resnet50,4,2
restoration,64.0,100.0,0.6,64.464,86.268,1002,resnet50,4,2
restoration,64.0,105.0,0.6,64.342,86.228,1002,resnet50,4,2
restoration,64.0,110.0,0.6,64.466,86.256,1002,resnet50,4,2
restoration,64.0,115.0,0.6,64.46,86.19,1002,resnet50,4,2
restoration,64.0,120.0,0.6,64.396,86.232,1002,resnet50,4,2
restoration,64.0,125.0,0.6,64.426,86.25,1002,resnet50,4,2
restoration,64.0,130.0,0.6,64.358,86.222,1002,resnet50,4,2
restoration,64.0,135.0,0.6,64.376,86.236,1002,resnet50,4,2
restoration,64.0,140.0,0.6,64.346,86.218,1002,resnet50,4,2
restoration,64.0,145.0,0.6,64.374,86.208,1002,resnet50,4,2
restoration,64.0,150.0,0.6,64.356,86.2,1002,resnet50,4,2
restoration,64.0,155.0,0.6,64.382,86.264,1002,resnet50,4,2
restoration,64.0,160.0,0.6,64.424,86.25,1002,resnet50,4,2
restoration,64.0,165.0,0.6,64.458,86.252,1002,resnet50,4,2
restoration,64.0,170.0,0.6,64.476,86.244,1002,resnet50,4,2
restoration,64.0,175.0,0.6,64.454,86.224,1002,resnet50,4,2
restoration,64.0,180.0,0.6,64.354,86.228,1002,resnet50,4,2
restoration,64.0,185.0,0.6,64.368,86.256,1002,resnet50,4,2
restoration,64.0,190.0,0.6,64.344,86.202,1002,resnet50,4,2
restoration,64.0,195.0,0.6,64.434,86.264,1002,resnet50,4,2
restoration,64.0,200.0,0.6,64.4,86.208,1002,resnet50,4,2
restoration,64.0,205.0,0.6,64.426,86.234,1002,resnet50,4,2
restoration,64.0,210.0,0.6,64.452,86.226,1002,resnet50,4,2
restoration,64.0,215.0,0.6,64.402,86.198,1002,resnet50,4,2
restoration,64.0,220.0,0.6,64.318,86.184,1002,resnet50,4,2
