method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,55.0,,1000,regnetx_3200m,2,2
restoration,64.0,1.0,0.6,55.674,81.442,1000,regnetx_3200m,2,2
restoration,64.0,5.0,0.6,55.974,81.466,1000,regnetx_3200m,2,2
restoration,64.0,10.0,0.6,56.048,81.472,1000,regnetx_3200m,2,2
restoration,64.0,15.0,0.6,56.25,81.544,1000,regnetx_3200m,2,2
restoration,64.0,20.0,0.6,56.134,81.51,1000,regnetx_3200m,2,2
restoration,64.0,25.0,0.6,56.134,81.478,1000,regnetx_3200m,2,2
restoration,64.0,30.0,0.6,56.09,81.528,1000,regnetx_3200m,2,2
restoration,64.0,35.0,0.6,56.102,81.49,1000,regnetx_3200m,2,2
restoration,64.0,40.0,0.6,56.05,81.51,1000,regnetx_3200m,2,2
restoration,64.0,45.0,0.6,56.09,81.434,1000,regnetx_3200m,2,2
restoration,64.0,50.0,0.6,56.176,81.452,1000,regnetx_3200m,2,2
restoration,64.0,55.0,0.6,56.114,81.44,1000,regnetx_3200m,2,2
restoration,64.0,60.0,0.6,56.028,81.422,1000,regnetx_3200m,2,2
restoration,64.0,65.0,0.6,56.126,81.376,1000,regnetx_3200m,2,2
restoration,64.0,70.0,0.6,56.144,81.382,1000,regnetx_3200m,2,2
restoration,64.0,75.0,0.6,56.068,81.392,1000,regnetx_3200m,2,2
restoration,64.0,80.0,0.6,55.978,81.41,1000,regnetx_3200m,2,2
restoration,64.0,85.0,0.6,56.056,81.438,1000,regnetx_3200m,2,2
restoration,64.0,90.0,0.6,56.078,81.406,1000,regnetx_3200m,2,2
restoration,64.0,95.0,0.6,56.102,81.442,1000,regnetx_3200m,2,2
restoration,64.0,100.0,0.6,56.092,81.408,1000,regnetx_3200m,2,2
restoration,64.0,105.0,0.6,56.112,81.402,1000,regnetx_3200m,2,2
restoration,64.0,110.0,0.6,56.06,81.49,1000,regnetx_3200m,2,2
restoration,64.0,115.0,0.6,56.066,81.422,1000,regnetx_3200m,2,2
restoration,64.0,120.0,0.6,56.086,81.424,1000,regnetx_3200m,2,2
restoration,64.0,125.0,0.6,56.1,81.434,1000,regnetx_3200m,2,2
restoration,64.0,130.0,0.6,56.04,81.432,1000,regnetx_3200m,2,2
restoration,64.0,135.0,0.6,55.976,81.428,1000,regnetx_3200m,2,2
restoration,64.0,140.0,0.6,56.01,81.386,1000,regnetx_3200m,2,2
restoration,64.0,145.0,0.6,55.99,81.4,1000,regnetx_3200m,2,2
restoration,64.0,150.0,0.6,56.15,81.416,1000,regnetx_3200m,2,2
restoration,64.0,155.0,0.6,56.112,81.426,1000,regnetx_3200m,2,2
restoration,64.0,160.0,0.6,55.988,81.39,1000,regnetx_3200m,2,2
restoration,64.0,165.0,0.6,56.054,81.384,1000,regnetx_3200m,2,2
restoration,64.0,170.0,0.6,56.092,81.396,1000,regnetx_3200m,2,2
restoration,64.0,175.0,0.6,56.044,81.382,1000,regnetx_3200m,2,2
restoration,64.0,180.0,0.6,55.952,81.442,1000,regnetx_3200m,2,2
restoration,64.0,185.0,0.6,56.14,81.444,1000,regnetx_3200m,2,2
restoration,64.0,190.0,0.6,56.084,81.416,1000,regnetx_3200m,2,2
restoration,64.0,195.0,0.6,56.012,81.422,1000,regnetx_3200m,2,2
restoration,64.0,200.0,0.6,56.016,81.424,1000,regnetx_3200m,2,2
restoration,64.0,205.0,0.6,56.068,81.414,1000,regnetx_3200m,2,2
restoration,64.0,210.0,0.6,56.134,81.45,1000,regnetx_3200m,2,2
restoration,64.0,215.0,0.6,56.072,81.482,1000,regnetx_3200m,2,2
restoration,64.0,220.0,0.6,56.084,81.388,1000,regnetx_3200m,2,2
