method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,69.22000122070312,,1002,resnet18,4,4
restoration,64.0,1.0,0.6,69.246,88.908,1002,resnet18,4,4
restoration,64.0,5.0,0.6,69.204,88.89,1002,resnet18,4,4
restoration,64.0,10.0,0.6,69.196,88.866,1002,resnet18,4,4
restoration,64.0,15.0,0.6,69.206,88.886,1002,resnet18,4,4
restoration,64.0,20.0,0.6,69.178,88.884,1002,resnet18,4,4
restoration,64.0,25.0,0.6,69.2,88.902,1002,resnet18,4,4
restoration,64.0,30.0,0.6,69.246,88.904,1002,resnet18,4,4
restoration,64.0,35.0,0.6,69.244,88.896,1002,resnet18,4,4
restoration,64.0,40.0,0.6,69.238,88.926,1002,resnet18,4,4
restoration,64.0,45.0,0.6,69.23,88.9,1002,resnet18,4,4
restoration,64.0,50.0,0.6,69.228,88.888,1002,resnet18,4,4
restoration,64.0,55.0,0.6,69.242,88.902,1002,resnet18,4,4
restoration,64.0,60.0,0.6,69.278,88.908,1002,resnet18,4,4
restoration,64.0,65.0,0.6,69.24,88.9,1002,resnet18,4,4
restoration,64.0,70.0,0.6,69.26,88.906,1002,resnet18,4,4
restoration,64.0,75.0,0.6,69.234,88.906,1002,resnet18,4,4
restoration,64.0,80.0,0.6,69.218,88.888,1002,resnet18,4,4
restoration,64.0,85.0,0.6,69.246,88.918,1002,resnet18,4,4
restoration,64.0,90.0,0.6,69.244,88.882,1002,resnet18,4,4
restoration,64.0,95.0,0.6,69.256,88.882,1002,resnet18,4,4
restoration,64.0,100.0,0.6,69.244,88.906,1002,resnet18,4,4
restoration,64.0,105.0,0.6,69.228,88.886,1002,resnet18,4,4
restoration,64.0,110.0,0.6,69.23,88.902,1002,resnet18,4,4
restoration,64.0,115.0,0.6,69.24,88.89,1002,resnet18,4,4
restoration,64.0,120.0,0.6,69.248,88.872,1002,resnet18,4,4
restoration,64.0,125.0,0.6,69.262,88.882,1002,resnet18,4,4
restoration,64.0,130.0,0.6,69.264,88.88,1002,resnet18,4,4
restoration,64.0,135.0,0.6,69.228,88.896,1002,resnet18,4,4
restoration,64.0,140.0,0.6,69.222,88.896,1002,resnet18,4,4
restoration,64.0,145.0,0.6,69.25,88.888,1002,resnet18,4,4
restoration,64.0,150.0,0.6,69.224,88.864,1002,resnet18,4,4
restoration,64.0,155.0,0.6,69.254,88.904,1002,resnet18,4,4
restoration,64.0,160.0,0.6,69.266,88.872,1002,resnet18,4,4
restoration,64.0,165.0,0.6,69.284,88.894,1002,resnet18,4,4
restoration,64.0,170.0,0.6,69.28,88.89,1002,resnet18,4,4
restoration,64.0,175.0,0.6,69.256,88.912,1002,resnet18,4,4
restoration,64.0,180.0,0.6,69.258,88.898,1002,resnet18,4,4
restoration,64.0,185.0,0.6,69.25,88.892,1002,resnet18,4,4
restoration,64.0,190.0,0.6,69.212,88.882,1002,resnet18,4,4
restoration,64.0,195.0,0.6,69.244,88.89,1002,resnet18,4,4
restoration,64.0,200.0,0.6,69.246,88.89,1002,resnet18,4,4
restoration,64.0,205.0,0.6,69.248,88.88,1002,resnet18,4,4
restoration,64.0,210.0,0.6,69.266,88.888,1002,resnet18,4,4
restoration,64.0,215.0,0.6,69.26,88.88,1002,resnet18,4,4
restoration,64.0,220.0,0.6,69.266,88.886,1002,resnet18,4,4
