method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,75.11599731445312,,1000,resnet50,4,4
restoration,64.0,1.0,0.6,75.14,92.264,1000,resnet50,4,4
restoration,64.0,5.0,0.6,75.15,92.26,1000,resnet50,4,4
restoration,64.0,10.0,0.6,75.128,92.26,1000,resnet50,4,4
restoration,64.0,15.0,0.6,75.084,92.268,1000,resnet50,4,4
restoration,64.0,20.0,0.6,75.096,92.29,1000,resnet50,4,4
restoration,64.0,25.0,0.6,75.12,92.276,1000,resnet50,4,4
restoration,64.0,30.0,0.6,75.1,92.272,1000,resnet50,4,4
restoration,64.0,35.0,0.6,75.132,92.25,1000,resnet50,4,4
restoration,64.0,40.0,0.6,75.128,92.298,1000,resnet50,4,4
restoration,64.0,45.0,0.6,75.128,92.27,1000,resnet50,4,4
restoration,64.0,50.0,0.6,75.11,92.26,1000,resnet50,4,4
restoration,64.0,55.0,0.6,75.148,92.264,1000,resnet50,4,4
restoration,64.0,60.0,0.6,75.148,92.274,1000,resnet50,4,4
restoration,64.0,65.0,0.6,75.144,92.244,1000,resnet50,4,4
restoration,64.0,70.0,0.6,75.16,92.272,1000,resnet50,4,4
restoration,64.0,75.0,0.6,75.128,92.268,1000,resnet50,4,4
restoration,64.0,80.0,0.6,75.144,92.258,1000,resnet50,4,4
restoration,64.0,85.0,0.6,75.152,92.262,1000,resnet50,4,4
restoration,64.0,90.0,0.6,75.17,92.256,1000,resnet50,4,4
restoration,64.0,95.0,0.6,75.134,92.234,1000,resnet50,4,4
restoration,64.0,100.0,0.6,75.188,92.274,1000,resnet50,4,4
restoration,64.0,105.0,0.6,75.16,92.258,1000,resnet50,4,4
restoration,64.0,110.0,0.6,75.17,92.268,1000,resnet50,4,4
restoration,64.0,115.0,0.6,75.142,92.26,1000,resnet50,4,4
restoration,64.0,120.0,0.6,75.138,92.256,1000,resnet50,4,4
restoration,64.0,125.0,0.6,75.158,92.262,1000,resnet50,4,4
restoration,64.0,130.0,0.6,75.156,92.258,1000,resnet50,4,4
restoration,64.0,135.0,0.6,75.166,92.274,1000,resnet50,4,4
restoration,64.0,140.0,0.6,75.164,92.276,1000,resnet50,4,4
restoration,64.0,145.0,0.6,75.172,92.268,1000,resnet50,4,4
restoration,64.0,150.0,0.6,75.176,92.264,1000,resnet50,4,4
restoration,64.0,155.0,0.6,75.162,92.262,1000,resnet50,4,4
restoration,64.0,160.0,0.6,75.128,92.252,1000,resnet50,4,4
restoration,64.0,165.0,0.6,75.168,92.268,1000,resnet50,4,4
restoration,64.0,170.0,0.6,75.17,92.268,1000,resnet50,4,4
restoration,64.0,175.0,0.6,75.17,92.294,1000,resnet50,4,4
restoration,64.0,180.0,0.6,75.15,92.282,1000,resnet50,4,4
restoration,64.0,185.0,0.6,75.17,92.288,1000,resnet50,4,4
restoration,64.0,190.0,0.6,75.158,92.262,1000,resnet50,4,4
restoration,64.0,195.0,0.6,75.166,92.278,1000,resnet50,4,4
restoration,64.0,200.0,0.6,75.14,92.26,1000,resnet50,4,4
restoration,64.0,205.0,0.6,75.146,92.268,1000,resnet50,4,4
restoration,64.0,210.0,0.6,75.188,92.254,1000,resnet50,4,4
restoration,64.0,215.0,0.6,75.128,92.266,1000,resnet50,4,4
restoration,64.0,220.0,0.6,75.14,92.262,1000,resnet50,4,4
