method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,19.84000015258789,,1001,mobilenetv2,4,2
restoration,64.0,1.0,0.6,19.97,42.248,1001,mobilenetv2,4,2
restoration,64.0,5.0,0.6,20.102,42.42,1001,mobilenetv2,4,2
restoration,64.0,10.0,0.6,19.998,42.42,1001,mobilenetv2,4,2
restoration,64.0,15.0,0.6,20.116,42.364,1001,mobilenetv2,4,2
restoration,64.0,20.0,0.6,19.974,42.492,1001,mobilenetv2,4,2
restoration,64.0,25.0,0.6,20.032,42.37,1001,mobilenetv2,4,2
restoration,64.0,30.0,0.6,19.96,42.28,1001,mobilenetv2,4,2
restoration,64.0,35.0,0.6,20.046,42.3,1001,mobilenetv2,4,2
restoration,64.0,40.0,0.6,20.12,42.396,1001,mobilenetv2,4,2
restoration,64.0,45.0,0.6,20.05,42.308,1001,mobilenetv2,4,2
restoration,64.0,50.0,0.6,20.064,42.332,1001,mobilenetv2,4,2
restoration,64.0,55.0,0.6,19.948,42.338,1001,mobilenetv2,4,2
restoration,64.0,60.0,0.6,20.062,42.38,1001,mobilenetv2,4,2
restoration,64.0,65.0,0.6,19.98,42.37,1001,mobilenetv2,4,2
restoration,64.0,70.0,0.6,20.04,42.392,1001,mobilenetv2,4,2
restoration,64.0,75.0,0.6,20.05,42.372,1001,mobilenetv2,4,2
restoration,64.0,80.0,0.6,20.112,42.422,1001,mobilenetv2,4,2
restoration,64.0,85.0,0.6,20.084,42.354,1001,mobilenetv2,4,2
restoration,64.0,90.0,0.6,20.02,42.326,1001,mobilenetv2,4,2
restoration,64.0,95.0,0.6,19.982,42.38,1001,mobilenetv2,4,2
restoration,64.0,100.0,0.6,19.976,42.31,1001,mobilenetv2,4,2
restoration,64.0,105.0,0.6,20.032,42.418,1001,mobilenetv2,4,2
restoration,64.0,110.0,0.6,20.056,42.38,1001,mobilenetv2,4,2
restoration,64.0,115.0,0.6,20.026,42.406,1001,mobilenetv2,4,2
restoration,64.0,120.0,0.6,20.05,42.336,1001,mobilenetv2,4,2
restoration,64.0,125.0,0.6,20.11,42.422,1001,mobilenetv2,4,2
restoration,64.0,130.0,0.6,20.012,42.382,1001,mobilenetv2,4,2
restoration,64.0,135.0,0.6,20.134,42.392,1001,mobilenetv2,4,2
restoration,64.0,140.0,0.6,19.992,42.372,1001,mobilenetv2,4,2
restoration,64.0,145.0,0.6,20.034,42.304,1001,mobilenetv2,4,2
restoration,64.0,150.0,0.6,20.102,42.424,1001,mobilenetv2,4,2
restoration,64.0,155.0,0.6,20.088,42.414,1001,mobilenetv2,4,2
restoration,64.0,160.0,0.6,20.01,42.38,1001,mobilenetv2,4,2
restoration,64.0,165.0,0.6,20.07,42.308,1001,mobilenetv2,4,2
restoration,64.0,170.0,0.6,20.044,42.402,1001,mobilenetv2,4,2
restoration,64.0,175.0,0.6,20.03,42.398,1001,mobilenetv2,4,2
restoration,64.0,180.0,0.6,20.094,42.374,1001,mobilenetv2,4,2
restoration,64.0,185.0,0.6,20.042,42.388,1001,mobilenetv2,4,2
restoration,64.0,190.0,0.6,20.058,42.406,1001,mobilenetv2,4,2
restoration,64.0,195.0,0.6,20.098,42.444,1001,mobilenetv2,4,2
restoration,64.0,200.0,0.6,20.168,42.39,1001,mobilenetv2,4,2
restoration,64.0,205.0,0.6,20.09,42.398,1001,mobilenetv2,4,2
restoration,64.0,210.0,0.6,20.116,42.366,1001,mobilenetv2,4,2
restoration,64.0,215.0,0.6,20.098,42.392,1001,mobilenetv2,4,2
restoration,64.0,220.0,0.6,19.992,42.378,1001,mobilenetv2,4,2
