method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,52.891998291015625,,1000,resnet18,2,2
restoration,64.0,1.0,0.6,53.132,78.526,1000,resnet18,2,2
restoration,64.0,5.0,0.6,53.192,78.522,1000,resnet18,2,2
restoration,64.0,10.0,0.6,53.03,78.54,1000,resnet18,2,2
restoration,64.0,15.0,0.6,53.164,78.482,1000,resnet18,2,2
restoration,64.0,20.0,0.6,53.086,78.526,1000,resnet18,2,2
restoration,64.0,25.0,0.6,53.068,78.436,1000,resnet18,2,2
restoration,64.0,30.0,0.6,53.14,78.404,1000,resnet18,2,2
restoration,64.0,35.0,0.6,53.136,78.428,1000,resnet18,2,2
restoration,64.0,40.0,0.6,53.114,78.442,1000,resnet18,2,2
restoration,64.0,45.0,0.6,53.162,78.402,1000,resnet18,2,2
restoration,64.0,50.0,0.6,53.186,78.374,1000,resnet18,2,2
restoration,64.0,55.0,0.6,53.172,78.446,1000,resnet18,2,2
restoration,64.0,60.0,0.6,53.078,78.448,1000,resnet18,2,2
restoration,64.0,65.0,0.6,53.132,78.442,1000,resnet18,2,2
restoration,64.0,70.0,0.6,53.112,78.442,1000,resnet18,2,2
restoration,64.0,75.0,0.6,53.132,78.444,1000,resnet18,2,2
restoration,64.0,80.0,0.6,53.128,78.46,1000,resnet18,2,2
restoration,64.0,85.0,0.6,53.086,78.462,1000,resnet18,2,2
restoration,64.0,90.0,0.6,53.092,78.45,1000,resnet18,2,2
restoration,64.0,95.0,0.6,53.124,78.446,1000,resnet18,2,2
restoration,64.0,100.0,0.6,53.086,78.374,1000,resnet18,2,2
restoration,64.0,105.0,0.6,53.1,78.516,1000,resnet18,2,2
restoration,64.0,110.0,0.6,53.134,78.43,1000,resnet18,2,2
restoration,64.0,115.0,0.6,53.192,78.426,1000,resnet18,2,2
restoration,64.0,120.0,0.6,53.12,78.37,1000,resnet18,2,2
restoration,64.0,125.0,0.6,53.108,78.444,1000,resnet18,2,2
restoration,64.0,130.0,0.6,53.062,78.458,1000,resnet18,2,2
restoration,64.0,135.0,0.6,53.056,78.488,1000,resnet18,2,2
restoration,64.0,140.0,0.6,53.138,78.408,1000,resnet18,2,2
restoration,64.0,145.0,0.6,53.12,78.48,1000,resnet18,2,2
restoration,64.0,150.0,0.6,53.122,78.386,1000,resnet18,2,2
restoration,64.0,155.0,0.6,53.13,78.412,1000,resnet18,2,2
restoration,64.0,160.0,0.6,53.138,78.448,1000,resnet18,2,2
restoration,64.0,165.0,0.6,53.104,78.484,1000,resnet18,2,2
restoration,64.0,170.0,0.6,53.082,78.398,1000,resnet18,2,2
restoration,64.0,175.0,0.6,53.03,78.376,1000,resnet18,2,2
restoration,64.0,180.0,0.6,53.12,78.394,1000,resnet18,2,2
restoration,64.0,185.0,0.6,53.094,78.416,1000,resnet18,2,2
restoration,64.0,190.0,0.6,53.114,78.396,1000,resnet18,2,2
restoration,64.0,195.0,0.6,53.096,78.384,1000,resnet18,2,2
restoration,64.0,200.0,0.6,53.122,78.428,1000,resnet18,2,2
restoration,64.0,205.0,0.6,53.07,78.426,1000,resnet18,2,2
restoration,64.0,210.0,0.6,53.074,78.376,1000,resnet18,2,2
restoration,64.0,215.0,0.6,53.062,78.392,1000,resnet18,2,2
restoration,64.0,220.0,0.6,53.048,78.384,1000,resnet18,2,2
