method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,58.74399948120117,,1002,resnet18,4,2
restoration,64.0,1.0,0.6,58.814,82.394,1002,resnet18,4,2
restoration,64.0,5.0,0.6,58.778,82.426,1002,resnet18,4,2
restoration,64.0,10.0,0.6,58.736,82.4,1002,resnet18,4,2
restoration,64.0,15.0,0.6,58.78,82.33,1002,resnet18,4,2
restoration,64.0,20.0,0.6,58.732,82.346,1002,resnet18,4,2
restoration,64.0,25.0,0.6,58.766,82.364,1002,resnet18,4,2
restoration,64.0,30.0,0.6,58.684,82.368,1002,resnet18,4,2
restoration,64.0,35.0,0.6,58.644,82.406,1002,resnet18,4,2
restoration,64.0,40.0,0.6,58.676,82.374,1002,resnet18,4,2
restoration,64.0,45.0,0.6,58.6,82.412,1002,resnet18,4,2
restoration,64.0,50.0,0.6,58.608,82.386,1002,resnet18,4,2
restoration,64.0,55.0,0.6,58.616,82.398,1002,resnet18,4,2
restoration,64.0,60.0,0.6,58.518,82.352,1002,resnet18,4,2
restoration,64.0,65.0,0.6,58.636,82.39,1002,resnet18,4,2
restoration,64.0,70.0,0.6,58.636,82.364,1002,resnet18,4,2
restoration,64.0,75.0,0.6,58.56,82.428,1002,resnet18,4,2
restoration,64.0,80.0,0.6,58.618,82.444,1002,resnet18,4,2
restoration,64.0,85.0,0.6,58.572,82.432,1002,resnet18,4,2
restoration,64.0,90.0,0.6,58.676,82.418,1002,resnet18,4,2
restoration,64.0,95.0,0.6,58.602,82.42,1002,resnet18,4,2
restoration,64.0,100.0,0.6,58.646,82.364,1002,resnet18,4,2
restoration,64.0,105.0,0.6,58.662,82.43,1002,resnet18,4,2
restoration,64.0,110.0,0.6,58.616,82.378,1002,resnet18,4,2
restoration,64.0,115.0,0.6,58.64,82.412,1002,resnet18,4,2
restoration,64.0,120.0,0.6,58.666,82.43,1002,resnet18,4,2
restoration,64.0,125.0,0.6,58.582,82.392,1002,resnet18,4,2
restoration,64.0,130.0,0.6,58.632,82.408,1002,resnet18,4,2
restoration,64.0,135.0,0.6,58.606,82.36,1002,resnet18,4,2
restoration,64.0,140.0,0.6,58.536,82.442,1002,resnet18,4,2
restoration,64.0,145.0,0.6,58.584,82.35,1002,resnet18,4,2
restoration,64.0,150.0,0.6,58.616,82.41,1002,resnet18,4,2
restoration,64.0,155.0,0.6,58.632,82.416,1002,resnet18,4,2
restoration,64.0,160.0,0.6,58.578,82.378,1002,resnet18,4,2
restoration,64.0,165.0,0.6,58.616,82.372,1002,resnet18,4,2
restoration,64.0,170.0,0.6,58.572,82.408,1002,resnet18,4,2
restoration,64.0,175.0,0.6,58.606,82.418,1002,resnet18,4,2
restoration,64.0,180.0,0.6,58.568,82.392,1002,resnet18,4,2
restoration,64.0,185.0,0.6,58.62,82.408,1002,resnet18,4,2
restoration,64.0,190.0,0.6,58.582,82.41,1002,resnet18,4,2
restoration,64.0,195.0,0.6,58.648,82.406,1002,resnet18,4,2
restoration,64.0,200.0,0.6,58.62,82.394,1002,resnet18,4,2
restoration,64.0,205.0,0.6,58.634,82.372,1002,resnet18,4,2
restoration,64.0,210.0,0.6,58.602,82.436,1002,resnet18,4,2
restoration,64.0,215.0,0.6,58.594,82.348,1002,resnet18,4,2
restoration,64.0,220.0,0.6,58.564,82.376,1002,resnet18,4,2
