method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,27.20599937438965,,1000,mnasnet,2,2
restoration,64.0,50.0,0.1,27.594,53.638,1000,mnasnet,2,2
restoration,64.0,50.0,0.2,27.836,53.876,1000,mnasnet,2,2
restoration,64.0,50.0,0.3,28.006,54.04,1000,mnasnet,2,2
restoration,64.0,50.0,0.4,28.236,54.12,1000,mnasnet,2,2
restoration,64.0,50.0,0.5,28.36,54.172,1000,mnasnet,2,2
restoration,64.0,50.0,0.6,28.384,53.966,1000,mnasnet,2,2
restoration,64.0,50.0,0.7,28.242,53.81,1000,mnasnet,2,2
restoration,64.0,50.0,0.8,28.012,53.56,1000,mnasnet,2,2
restoration,64.0,50.0,0.9,27.672,53.21,1000,mnasnet,2,2
restoration,64.0,50.0,1.0,27.252,52.738,1000,mnasnet,2,2
