method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,"tensor(0.1040, device='cuda:0')",,0,resnet18,2,2
restoration,64.0,50.0,0.1,0.106,0.5,0,resnet18,2,2
restoration,64.0,50.0,0.2,0.112,0.502,0,resnet18,2,2
restoration,64.0,50.0,0.3,0.108,0.492,0,resnet18,2,2
restoration,64.0,50.0,0.4,0.124,0.496,0,resnet18,2,2
restoration,64.0,50.0,0.5,0.114,0.516,0,resnet18,2,2
restoration,64.0,50.0,0.6,0.102,0.522,0,resnet18,2,2
restoration,64.0,50.0,0.7,0.1,0.602,0,resnet18,2,2
restoration,64.0,50.0,0.8,0.108,0.59,0,resnet18,2,2
restoration,64.0,50.0,0.9,0.126,0.634,0,resnet18,2,2
restoration,64.0,50.0,1.0,0.144,0.622,0,resnet18,2,2
