method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,72.45600128173828,,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.1,72.552,91.388,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.2,72.65,91.386,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.3,72.706,91.416,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.4,72.778,91.404,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.5,72.808,91.378,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.6,72.806,91.358,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.7,72.786,91.368,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.8,72.788,91.334,1002,regnetx_3200m,2,4
restoration,64.0,50.0,0.9,72.784,91.338,1002,regnetx_3200m,2,4
restoration,64.0,50.0,1.0,72.734,91.308,1002,regnetx_3200m,2,4
