method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,52.895999908447266,,1002,resnet18,2,2
restoration,64.0,50.0,0.5,53.004,78.282,1002,resnet18,2,2
