method,num_clusters,pca_dim,alpha,top1_acc,top5_acc,seed,arch,w_bits,a_bits
no_restoration,,,,69.33399963378906,,1003,resnet18,4,4
restoration,64.0,50.0,0.5,69.392,88.952,1003,resnet18,4,4
